Episode,Reward,Avg10,Epsilon,UniqueStates
1,-59.85401459854097,-59.85401459854097,0.995,156
2,-50.70422535211348,-50.70422535211348,0.990025,1095
3,-16.083916083916133,-16.083916083916133,0.985074875,2089
4,-44.44444444444526,-44.44444444444526,0.9801495006250001,3082
5,-68.29971181556246,-68.29971181556246,0.9752487531218751,3889
6,-61.83206106870311,-61.83206106870311,0.9703725093562657,4145
7,-64.85623003194962,-64.85623003194962,0.9655206468094844,4764
8,-11.660777385158841,-11.660777385158841,0.960693043575437,5746
9,0.8064516129041552,0.8064516129041552,0.9558895783575597,6675
10,-68.15286624203873,-68.15286624203873,0.9511101304657719,7379
11,-54.86111111111193,-44.00888919220954,0.946354579813443,8204
12,-20.63492063492094,-41.001958720490286,0.9416228069143757,8355
13,-77.63578274760367,-47.15714538685904,0.9369146928798039,8934
14,-19.413919413919924,-44.65409288380651,0.9322301194154049,9920
15,-65.75342465753495,-44.39946416800375,0.9275689688183278,10329
16,-64.53900709219937,-44.67015877035338,0.9229311239742362,11183
17,-80.19801980197987,-46.204337747356405,0.918316468354365,11825
18,1.562500000000893,-44.88201000884043,0.9137248860125932,12799
19,-57.29537366548124,-50.692192536678974,0.9091562615825302,13168
20,-65.98639455782381,-50.47554536825748,0.9046104802746175,13686
21,-46.058091286307885,-49.595243385777074,0.9000874278732445,14246
22,-61.53846153846235,-53.685597476131214,0.8955869907338783,14941
23,-62.68656716417993,-52.19067591778885,0.8911090557802088,15465
24,-46.372239747634865,-54.88650795116034,0.8866535105013078,15597
25,-66.3608562691138,-54.94725111231823,0.8822202429488013,16149
26,-52.54237288135677,-53.74758769123396,0.8778091417340573,16270
27,-52.55474452554827,-50.9832601635908,0.8734200960253871,16447
28,-64.78873239436696,-57.618383403027586,0.8690529955452602,16744
29,-70.37037037037074,-58.92588307351654,0.8647077305675338,17258
30,-66.32996632996698,-58.96024025073085,0.8603841919146962,17472
31,-29.687500000000835,-57.32318112210015,0.8560822709551227,17829
32,-61.03896103896185,-57.2732310721501,0.851801859600347,18443
33,-54.545454545455364,-56.45911981027764,0.8475428503023453,18993
34,-72.6962457337886,-59.09152040889302,0.8433051360508336,19772
35,-17.910447761194828,-54.24647955810112,0.8390886103705794,20752
36,-21.05263157894812,-51.097505427860256,0.8348931673187264,21740
37,-58.990536277603326,-51.74108460306576,0.8307187014821328,22462
38,-63.09963099631078,-51.57217446326014,0.8265651079747222,23066
39,-62.025316455697016,-50.73766907179277,0.8224322824348486,23187
40,-69.89966555183987,-51.09463899398006,0.8183201210226743,23720
41,-47.54098360655817,-52.879987354635794,0.8142285204175609,24536
42,-33.823529411765506,-50.15844419191616,0.810157377815473,24755
43,-25.566343042071896,-47.26053304157781,0.8061065909263957,24890
44,-65.07936507936581,-46.49884497613554,0.8020760579717637,25400
45,-70.87378640776731,-51.79517884079278,0.798065677681905,26190
46,-64.78873239436696,-56.16878892233467,0.7940753492934954,26625
47,-50.495049504951325,-55.319240245069466,0.7901049725470279,27379
48,22.11221122112436,-46.79805602332595,0.7861544476842928,28273
49,-48.339483394834765,-45.429472717239726,0.7822236754458713,28417
50,23.5521235521259,-36.08429380684315,0.778312557068642,29309
51,-60.39603960396122,-37.369799406583454,0.7744209942832988,30176
52,-36.30573248407724,-37.61801971381463,0.7705488893118823,31143
53,-53.90070921985898,-40.451456331593334,0.7666961448653229,31270
54,-57.894736842106084,-39.73299350786736,0.7628626641409962,31404
55,-67.21311475409894,-39.36692634250053,0.7590483508202912,31857
56,-54.716981132076285,-38.359751216271455,0.7552531090661897,32514
57,-56.8106312292367,-38.991309388699996,0.7514768435208588,32870
58,-44.88188976378036,-45.690719487190464,0.7477194593032545,33754
59,-33.12101910828106,-44.1688730585351,0.7439808620067382,34610
60,-67.21311475409894,-53.245396889157576,0.7402609576967045,35346
61,-58.477508650519844,-53.053543793813446,0.736559652908221,35604
62,-58.762886597938966,-55.29925920519961,0.7328768546436799,36281
63,-51.21951219512279,-55.031139502726,0.7292124703704616,36547
64,-52.20588235294199,-54.46225405380959,0.7255664080186093,36909
65,-61.988304093568054,-53.9397729877565,0.7219385759785162,37070
66,-39.799331103679755,-52.44800798491684,0.7183288830986236,37224
67,-56.65634674922681,-52.43257953691585,0.7147372386831305,37350
68,-69.89966555183987,-54.93435711572181,0.7111635524897149,37797
69,-66.91176470588297,-58.313431675482,0.7076077347272662,38328
70,-68.84735202492259,-58.47685540256437,0.7040696960536299,39018
71,-70.69597069597104,-59.69870160710948,0.7005493475733617,39648
72,-7.063197026021797,-54.528732649917764,0.697046600835495,39779
73,-42.02898550724719,-53.609679981130206,0.6935613678313175,40462
74,-65.41786743515921,-54.930878489351926,0.6900935609921609,40597
75,-46.48829431438204,-53.380877511433326,0.6866430931872001,41554
76,-52.56916996047514,-54.65786139711287,0.6832098777212641,42125
77,-49.09090909090992,-53.901317631281174,0.6797938283326578,42890
78,-51.02040816326613,-52.013391892423805,0.6763948591909945,43379
79,-46.61921708185135,-49.98413713002064,0.6730128848950395,43490
80,-50.00000000000082,-48.09940192752846,0.6696478204705644,44286
81,9.589041095891824,-40.070900748342176,0.6662995813682115,45071
82,-53.90070921985898,-44.7546519677259,0.6629680834613705,45852
83,-73.3727810650889,-47.88903152351007,0.6596532430440636,46343
84,-52.8985507246385,-46.63709985245799,0.6563549768288433,46881
85,-62.199312714777456,-48.20820169249754,0.653073201944699,47762
86,-39.3939393939402,-46.89067863584405,0.6498078359349755,48700
87,-52.72727272727355,-47.25431499948041,0.6465587967553006,48827
88,-67.84565916398768,-48.93684009955256,0.6433260027715241,49046
89,-52.802359882006726,-49.555154379568094,0.6401093727576664,49965
90,-26.73992673992755,-47.22914705356077,0.6369088258938781,50888
91,-52.681388012619095,-53.45618996441186,0.6337242817644086,51031
92,-46.30872483221559,-52.696991525647526,0.6305556603555866,51136
93,-61.988304093568054,-51.558543828495445,0.6274028820538087,51235
94,-64.15770609319078,-52.68445936535066,0.6242658676435396,51389
95,-60.655737704918835,-52.5301018643648,0.6211445383053219,51491
96,-13.690476190476158,-49.9597555440184,0.6180388156137953,52329
97,-21.568627450981182,-46.843891016389165,0.6149486215357263,53218
98,-39.393939393940194,-43.99871903938442,0.6118738784280476,54154
99,-53.795379537954624,-44.0980210049792,0.6088145090359074,54262
100,-47.368421052632385,-46.16087043624969,0.6057704364907278,54424
101,-69.60486322188491,-47.85321795717627,0.6027415843082742,54977
102,-60.365853658537404,-49.25893083980846,0.5997278763867329,55720
103,-61.13074204947078,-49.17317463539872,0.5967292370047992,56469
104,-59.558823529412585,-48.71328637902091,0.5937455908197752,57187
105,-43.609022556391814,-47.0086148641682,0.5907768628656763,57301
106,-55.93220338983134,-51.23278758410372,0.5878229785513479,57926
107,-44.88188976378036,-53.56411381538364,0.5848838636585911,58191
108,-60.43165467625982,-55.6678853436156,0.5819594443402982,58977
109,6.2271062271074875,-49.66563676710939,0.5790496471185967,59093
110,-60.992907801419264,-51.028085441988075,0.5761543988830038,59573
111,-57.142857142857956,-49.78188483408538,0.5732736268885887,60401
112,-61.38996138996221,-49.88429560722786,0.5704072587541458,60812
113,-56.79012345679093,-49.45023374795988,0.567555222460375,60919
114,-71.22302158273412,-50.61665355329203,0.5647174463480732,61386
115,-61.904761904762715,-52.446227488129125,0.5618938591163328,62259
116,-42.56756756756838,-51.109763905902824,0.5590843898207511,62492
117,-58.15030674846644,-52.43660560437144,0.5562889678716474,62618
118,-67.50902527075868,-53.14434266382132,0.5535075230322891,62979
119,-67.84565916398768,-60.55161920293084,0.5507399854171277,63329
120,-58.904109589041916,-60.34273938169311,0.547986285490042,63432
121,-70.0000000000004,-61.62845366740735,0.5452463540625918,63747
122,-73.85620915032692,-62.87507844344382,0.5425201222922789,64220
123,-64.78873239436696,-63.67493933720142,0.5398075216808175,64633
124,-27.797833935018854,-59.332420572429896,0.5371084840724134,65508
125,-40.350877192983276,-57.17703210125195,0.5344229416520513,66248
126,-66.10169491525491,-59.53044483602061,0.531750826943791,66772
127,-50.530035335689874,-58.76841769474295,0.5290920728090721,67421
128,-73.42192691029915,-59.35970785869699,0.5264466124450268,67857
129,-26.573426573427387,-55.23248459964096,0.5238143793828016,68656
130,-66.25766871165709,-55.96784051190248,0.5211953074858876,69061
131,-55.017301038063096,-54.469570615708754,0.5185893309484582,69828
132,-63.09963099631078,-53.393912800307135,0.5159963842937159,70267
133,-69.32515337423355,-53.8475548982938,0.5134164023722473,70537
134,-36.090225563910614,-54.676794061182974,0.510849320360386,70645
135,-57.69230769230852,-56.410937111115494,0.5082950737585841,71434
136,-45.57823129251782,-54.35859074884179,0.5057535983897912,72282
137,-56.175298804781704,-54.92311709575097,0.5032248303978422,72873
138,-65.64885496183277,-54.145809900904325,0.500708706245853,73238
139,-68.35443037974734,-58.32391028153633,0.4982051627146237,73641
140,-36.10223642172606,-55.308367052543225,0.49571413690105054,74490
141,-46.61921708185135,-54.46855865692205,0.4932355662165453,74593
142,-18.28793774319149,-49.98738933161012,0.4907693883854626,75468
143,-46.3601532567058,-47.69088931985735,0.4883155414435353,75567
144,-4.3824701195212565,-44.52011377541841,0.4858739637363176,75736
145,-52.38095238095318,-43.988978244282876,0.483444593917636,76405
146,-64.63022508038661,-45.89417762306975,0.4810273709480478,77037
147,-29.765886287626248,-43.25323637135421,0.47862223409330756,77843
148,-42.74809160305426,-40.963160035476356,0.47622912292284103,78017
149,-57.142857142857956,-39.84200271178742,0.4738479773082268,78684
150,-39.799331103679755,-40.21171217998279,0.47147873742168567,79601
151,-65.31791907514521,-42.081582379312174,0.46912134373457726,80113
152,-44.80519480519563,-44.73330808551259,0.46677573701590436,81080
153,-63.69636963696452,-46.46692972353846,0.46444185833082485,81617
154,-31.818181818182627,-49.2105008934046,0.46211964903917074,82588
155,-34.065934065934876,-47.378999061902775,0.4598090507939749,83512
156,-40.59405940594143,-44.97538249445825,0.457510005540005,84146
157,-59.259259259260084,-47.924719791621634,0.45522245551230495,84683
158,-57.44680851063912,-49.39459148238012,0.4529463432347434,85263
159,-30.069930069930894,-46.68729877508741,0.4506816115185697,85380
160,-45.57823129251782,-47.26518879397122,0.4484282034609769,85507
161,-41.580756013746516,-44.89147248783135,0.446186062443672,85612
162,-29.687500000000835,-43.379703007311875,0.4439551321314536,86356
163,-47.7124183006544,-41.78130787368086,0.4417353564707963,87297
164,-53.33333333333415,-43.932823025196015,0.43952667968844233,87941
165,-55.22388059701574,-46.0486176783041,0.43732904629000013,88706
166,-75.68389057750758,-49.557600795460715,0.4351424010585501,89056
167,-50.495049504951325,-48.68117982002984,0.43296668905325736,89196
168,-62.3287671232885,-49.169375681294774,0.43080185560799106,89586
169,-53.66795366795449,-51.52917804109713,0.4286478463299511,90189
170,-60.43165467625982,-53.014520379471335,0.42650460709830135,90349
171,-56.04395604395686,-54.46084038249237,0.42437208406280985,90534
172,-30.232558139535648,-54.515346196445854,0.4222502236424958,91449
173,-20.68965517241409,-51.81306988362182,0.42013897252428334,91564
174,-11.971830985916224,-47.67691964888003,0.4180382776616619,92500
175,-62.58503401360626,-48.41303499053908,0.4159480862733536,92929
176,-44.625407166124596,-45.307186649400776,0.41386834584198684,93028
177,-29.824561403509595,-43.240137839256604,0.4117990041127769,93875
178,-66.1016949152549,-43.61743061845325,0.40974000909221303,94320
179,3.5598705501629406,-37.894648196641505,0.40769130904675194,95135
180,-28.571428571429404,-34.70862558615846,0.40565285250151817,95974
181,-49.152542372882195,-34.019484219050995,0.4036245882390106,96088
182,-18.126501766783875,-32.80887858177582,0.4016064652978155,96243
183,15.24163568773406,-29.215749495761003,0.3995984329713264,96917
184,-23.076923076923894,-30.32625870486177,0.3976004408064698,97846
185,-62.54681647940157,-30.3224369514413,0.39561243860243744,98373
186,-63.934426229509,-32.253338857779745,0.3936343764094253,98684
187,-62.837837837838656,-35.55466650121265,0.39166620452737816,99375
188,-60.714285714286525,-35.01592558111581,0.3897078735047413,99964
189,-71.78683385579963,-42.55059602171207,0.3877593341372176,100417
190,-51.61290322580729,-44.85474348714986,0.3858205374665315,100511
191,-19.37419354838643,-41.87690860470028,0.38389143477919885,100685
192,-39.53488372093106,-44.017746800115,0.3819719776053028,101557
