Episode,Reward,Avg10,Epsilon,UniqueStates
1,-66.38655462184937,-66.38655462184937,0.999,657
2,-50.310559006211996,-50.310559006211996,0.998001,1247
3,-73.29376854599423,-73.29376854599423,0.997002999,1870
4,-63.36996336996419,-63.36996336996419,0.996005996001,2411
5,-38.144329896908026,-38.144329896908026,0.995009990004999,2965
6,-21.487603305785836,-21.487603305785836,0.994014980014994,3808
7,-54.06360424028351,-54.06360424028351,0.993020965034979,4361
8,-72.02797202797227,-72.02797202797227,0.9920279440699441,4973
9,-72.6962457337886,-72.6962457337886,0.9910359161258742,5616
10,-68.15286624203873,-68.15286624203873,0.9900448802097482,6105
11,-50.00000000000082,-56.354691236894816,0.9890548353295385,6620
12,-59.558823529412585,-57.27951768921488,0.988065780494209,7212
13,-74.91039426523302,-57.441180261138754,0.9870777147137147,7930
14,-75.07788161993773,-58.611972086136106,0.986090636999001,8673
15,-51.7241379310353,-59.969952889548836,0.9851045463620021,9169
16,-41.90871369294689,-62.01206392826494,0.98411944181564,9877
17,-58.19935691318408,-62.42563919555501,0.9831353223738244,10404
18,-83.19327731092388,-63.542169723850165,0.9821521870514506,11009
19,-59.73154362416189,-62.2456995128875,0.9811700348643991,11483
20,-75.77854671280275,-63.0082675599639,0.9801888648295347,12225
21,-79.10447761194003,-65.9187153211578,0.9792086759647052,12803
22,-54.248366013072705,-65.38766956952382,0.9782294672887405,13527
23,-75.60975609756098,-65.45760575275662,0.9772512378214517,14030
24,-32.88590604026929,-61.238408194789784,0.9762739865836303,14699
25,-41.3793103448284,-60.20392543616909,0.9752977125970467,15379
26,-81.59509202453947,-64.17256326932835,0.9743224148844496,15982
27,-77.91798107255502,-66.14442568526543,0.9733480924695651,16520
28,-76.43097643097637,-65.4681955972707,0.9723747443770956,17102
29,-70.26022304832752,-66.52106353968725,0.9714023696327185,17722
30,-32.69230769230851,-62.21243963763783,0.9704309672630859,18450
31,-64.40129449838265,-60.74212132628209,0.9694605362958227,19118
32,-43.85964912280784,-59.7032496372556,0.9684910757595269,19666
33,-54.86111111111193,-57.6283851386107,0.9675225846837673,20146
34,-54.703832752614076,-59.81017780984517,0.9665550620990835,20628
35,-54.06360424028351,-61.078607199390696,0.9655885070369844,21091
36,-68.75000000000048,-59.7940979969368,0.9646229185299474,21600
37,-70.80291970802953,-59.08259186048424,0.9636582956114175,22208
38,-76.19047619047615,-59.05854183643422,0.9626946373158061,22789
39,-65.51724137931106,-58.584243669532576,0.9617319426784903,23466
40,-76.02739726027394,-62.91775262632912,0.9607702107358118,24143
41,-68.85813148788975,-63.36343632527983,0.959809440525076,24720
42,-57.70392749244794,-64.74786416224383,0.9588496310845509,25385
43,-64.70588235294193,-65.73234128642683,0.9578907814534664,25861
44,-62.121212121212935,-66.47407922328672,0.9569328906720129,26445
45,-72.72727272727292,-68.34044607198567,0.9559759577813409,26940
46,-71.92982456140376,-68.658428528126,0.9550199818235596,27572
47,-70.87378640776731,-68.66551519809977,0.9540649618417361,28054
48,-19.014084507042995,-62.94787602975646,0.9531108968798944,29039
49,-64.40129449838265,-62.83628134166362,0.9521577859830145,29513
50,-44.8529411764714,-59.718835733283356,0.9512056281970315,30038
51,-45.848375451264346,-57.41786012962082,0.9502544225688344,30726
52,-67.10526315789532,-58.35799369616556,0.9493041681462656,31258
53,-68.65203761755534,-58.752609222626894,0.9483548639781193,31870
54,-71.92982456140376,-59.73347046664598,0.9474065091141411,32351
55,-50.75757575757657,-57.536500769676344,0.946459102605027,33054
56,-55.390334572491525,-55.88255177078512,0.9455126435024219,33698
57,-60.00000000000083,-54.79517313000847,0.9445671308589195,34119
58,6.16438356164508,-52.27732632313966,0.9436225637280606,34895
59,-8.805031446540522,-46.71770001795545,0.9426789411643326,35547
60,-49.275362318841395,-47.159942132192455,0.9417362622231683,36054
61,-51.048951048951864,-47.67999969196121,0.9407945259609451,36700
62,-67.39130434782666,-47.70860381095434,0.9398537314349842,37311
63,-59.85401459854097,-46.8288015090529,0.9389138777035492,37868
64,-51.41700404858382,-44.77751945777091,0.9379749638258457,38432
65,-48.80546075085405,-44.58230795709866,0.9370369888620198,38917
66,-42.85714285714365,-43.32898878556387,0.9360999518731578,39707
67,-70.14925373134366,-44.343914158698155,0.9351638519212846,40230
68,-62.26415094339704,-51.18676760920236,0.9342286880693633,40726
69,-20.0000000000008,-52.30626446454839,0.933294459381294,41479
70,3.846153846154908,-46.994112848048765,0.9323611649219127,41902
71,-64.66431095406438,-48.355648838560015,0.9314288037569908,42456
72,-60.714285714286525,-47.687946975206,0.9304973749532338,42971
73,-67.61133603238923,-48.463679118590825,0.9295668775782806,43535
74,-58.59872611465049,-49.18185132519749,0.9286373107007023,44248
75,-60.28880866426074,-50.330186116538165,0.9277086733900016,44652
76,-70.87378640776731,-53.13185047160052,0.9267809647166116,45194
77,-70.23809523809561,-53.14073462227573,0.925854183751895,45613
78,-48.27586206896635,-51.741905734832656,0.9249283295681431,45956
79,-75.69444444444444,-57.31135017927702,0.9240034012385749,46374
80,-73.2441471571908,-65.02038027961159,0.9230793978373364,46830
81,-45.454545454546285,-63.09940372965978,0.9221563184394991,47312
82,-60.62992125984335,-63.09096728421546,0.9212341621210596,47863
83,-67.32026143790908,-63.06185982476744,0.9203129279589385,48252
84,-57.05521472392718,-62.90750868569512,0.9193926150309796,48836
85,-29.577464788733185,-59.83637429814236,0.9184732224159486,49609
86,-71.92982456140376,-59.941978113506,0.9175547491935327,50260
87,-67.42671009772043,-59.66083959946849,0.9166371944443392,50864
88,-72.78911564625871,-62.11216495719772,0.9157205572498949,51424
89,-70.19867549668912,-61.562588062422186,0.914804836692645,51999
90,-50.177935943061314,-59.25596694100924,0.9138900318559524,52687
91,-74.11003236245963,-62.12151563180057,0.9129761418240965,53295
92,-62.54681647940157,-62.31320515375639,0.9120631656822724,53728
93,-75.00000000000003,-63.08117900996549,0.9111511025165902,54264
94,-76.8786127167629,-65.06351880924908,0.9102399514140735,54811
95,-67.84565916398768,-68.89033824677452,0.9093297114626595,55389
